Number of hunting activities, Average per capita use value for beluga ($CAN),Beluga Including opportunity cost ($CAN), Average per capita use value for narwhal ($CAN),Narwhal Including opportunity cost ($CAN)
1,-9399,-454859,133278,-26735
2,266504,-179009,321500,161486
3,358454,-87059,384240,224227
4,404429,-41084,415611,255597
5,432014,-13499,434433,274419
6,450404,4890,446981,286967
7,463540,18025,455944,295930
8,473392,27877,462666,302653
9,481054,35540,467895,307881
10,487184,41670,472077,312064
